Study_ID,Species_scientific_name,Species_common_name,Comment,Class_scientific_name
S_150,Scorpaena scrofa,Benthonic fish,na,Actinopterygii
S_150,Salmo trutta fario,Trout,na,Actinopterygii
S_150,Rutilus rutilus,Roach,na,Actinopterygii
S_150,Limanda limanda,Dab,na,Actinopterygii
S_150,Salvelinus namaycush,Lake trout,na,Actinopterygii
S_150,Salvelinus alpinus,Arctic char,na,Actinopterygii
S_150,Salmo trutta fario,Brown trout,na,Actinopterygii
S_150,Oncorhynchus mykiss,Rainbow trout,na,Actinopterygii
S_150,Leuciscus cephalus,Chub,na,Actinopterygii
S_150,Gobio gobio,River goby,na,Actinopterygii
S_150,Sardina pilchardus,Sardine,na,Actinopterygii
S_150,Engraulis encrasicholus,Anchovie,na,Actinopterygii
S_150,Anguilla anguilla,Eel,na,Actinopterygii
S_150,Micropterus dolomieu,Smallmouth bass,na,Actinopterygii
S_150,Micropterus salmoides,Largemouth bass,na,Actinopterygii
S_150,Salvelinus namaycush,Lake trout,na,Actinopterygii
S_150,Cyprinus carpio,Common carp,na,Actinopterygii
S_150,Lepomis macrochirus,Bluegill sunfish,na,Actinopterygii
S_150,Anguilla anguilla,Eel,The authors did not report the scientific name,Actinopterygii
S_150,Lutjanus campechanus,Snapper,The authors did not report the scientific name,Actinopterygii
S_150,Ictaluridae,Catfish,The authors did not report the scientific name,Actinopterygii
S_150,Opsanus tau,Oyster toadfish,na,Actinopterygii
S_150,Micropogonias undulatus,Atlantic croaker ,na,Actinopterygii
S_150,Mentichrrhus americanus,Southern kingfish,na,Actinopterygii
S_150,Dasyatis americana,Southern stingray,na,Chondrichthyes
S_150,Bairdiells chrysoura,Silver perch,na,Actinopterygii
S_150,Leistomus xanthurus,Spot,na,Actinopterygii
S_150,Synodus foetens,Inshore lizardfish,na,Actinopterygii
S_150,Haemulton aurolineatum,Tomtate,na,Actinopterygii
S_150,Prionotus sp.,Sea robin,na,Actinopterygii
S_150,Centroprinstis striata,Black sea bass,na,Actinopterygii
S_150,Micropterus salmoides,Large mouth bass,na,Actinopterygii
S_150,Rhizoprionodon terranovae,Atlantic sharp-nose shark,na,Chondrichthyes
S_150,Sphyrna tiburo,Bonnethead shark,na,Chondrichthyes
S_150,Lepomis macrochirus,Bluegill,na,Actinopterygii
S_150,Pomoxis nigromaculatus,Black crappie,na,Actinopterygii
S_150,Lepomis gibbosus,Pumpkinseed,na,Actinopterygii
S_150,Mugil incilis,Mullet,na,Actinopterygii
S_150,Lepidopus caudatus,Silver scabbardfish,na,Actinopterygii
S_150,Micropogonias furnier,Whitemouth croaker ,na,Actinopterygii
S_150,Mugil liza,Mullet,na,Actinopterygii
S_150,Caretta caretta,Loggerhead sea turtle,na,Reptilia
S_150,Pygoscelis adeliae,Adelie penguin,na,Aves
S_150,Stercorarius maccormicki,South polar skua,na,Aves
S_150,Thalassarche mélanophrys,Black-browed albatross,na,Aves
S_150,Thalassarche chrysostoma,Gray-headed albatross ,na,Aves
S_150,Phoebetria palpebrata,Light-mantled sooty albatross,na,Aves
S_150,Diomedea epomophora,Royal albatross,na,Aves
S_150,Thalassarche cauta,Shy albatross,na,Aves
S_150,Diomedea exulans,Wandering albatross,na,Aves
S_150,Thalassarche mélanophrys,Black-browed albatross,na,Aves
S_150,Pygoscelis adéliae,Adélie penguin,na,Aves
S_150,Pygoscelis papua,Gentoo penguin,na,Aves
S_150,Anas platyrhynchos,Mallard,The authors did not report the scientific name,Aves
S_150,Chroicocephalus ridibundus,Blackheaded gull,The authors did not report the scientific name,Aves
S_150,Thalassarche mélanophrys,Black-browed albatross,na,Aves
S_150,Thalassarche chrysostoma,Gray-headed albatross,na,Aves
S_150,Diomedea immutabilis,Laysan albatross,na,Aves
S_150,Phoebetria palpebrata,Light-mantled sooty albatross,na,Aves
S_150,Diomedea epomophora,Royal albatross,na,Aves
S_150,Thalassarche cauta,Shy albatross,na,Aves
S_150,Diomedea exulans,Wandering albatross,na,Aves
S_150,Thalassarche chlororhynchos,Yellow-nosed albatross ,na,Aves
S_150,Phalacrocorax carbo,Common cormorant,na,Aves
S_150,Egretta garzetta,Little egret,na,Aves
S_150,Nycticorax nycticorax,Night heron,na,Aves
S_150,Ardea alba,Great egret,na,Aves
S_150,Charadrius dubius,Little ringed plover,na,Aves
S_150,Paradoxornis webbiana,Parrot bill,na,Aves
S_150,Melanitta fusca,Velvet scoter,na,Aves
S_150,Sommateria mollisima,Eider,na,Aves
S_150,Clangula hyemalis,Long-tailed duck,na,Aves
S_150,Alca torda,Razorbill,na,Aves
S_150,Gavia stellata,Red-throated diver,na,Aves
S_150,Larus fuscus,Black-backed gull,na,Aves
S_150,Uria aalge,Guillemot,na,Aves
